day,name,address,city,codes,map,
"Saturday, 	12:00 PM",Grupo 29 De Mayo,405 Grand Ave. Suite 205,South SF,E,http://goo.gl/maps/bmHbr,
"Saturday, 	8:00 PM",Grupo 29 De Mayo,405 Grand Ave. Suite 205,South SF,E,http://goo.gl/maps/bmHbr,
"Sunday, 	12:00 PM",Grupo Geneva,5520 Mission @ Guttenberg,Daly City,E,http://goo.gl/maps/Pbqkl,
"Sunday, 	8:00 PM",Grupo Geneva,5520 Mission @ Guttenberg,Daly City,E,http://goo.gl/maps/Pbqkl,
"Monday, 	12:00 PM",Grupo Geneva,5520 Mission @ Guttenberg,Daly City,E,http://goo.gl/maps/Pbqkl,
"Monday, 	8:00 PM",Grupo Geneva,5520 Mission @ Guttenberg,Daly City,E,http://goo.gl/maps/Pbqkl,
"Tuesday, 	12:00 PM",Grupo Geneva,5520 Mission @ Guttenberg,Daly City,E,http://goo.gl/maps/Pbqkl,
"Tuesday, 	8:00 PM",Grupo Geneva,5520 Mission @ Guttenberg,Daly City,E,http://goo.gl/maps/Pbqkl,
"Wednesday, 	12:00 PM",Grupo Geneva,5520 Mission @ Guttenberg,Daly City,E,http://goo.gl/maps/Pbqkl,
"Wednesday, 	8:00 PM",Grupo Geneva,5520 Mission @ Guttenberg,Daly City,E,http://goo.gl/maps/Pbqkl,
"Thursday, 	12:00 PM",Grupo Geneva,5520 Mission @ Guttenberg,Daly City,E,http://goo.gl/maps/Pbqkl,
"Thursday, 	8:00 PM",Grupo Geneva,5520 Mission @ Guttenberg,Daly City,E,http://goo.gl/maps/Pbqkl,
"Friday, 	12:00 PM",Grupo Geneva,5520 Mission @ Guttenberg,Daly City,E,http://goo.gl/maps/Pbqkl,
"Friday, 	8:00 PM",Grupo Geneva,5520 Mission @ Guttenberg,Daly City,E,http://goo.gl/maps/Pbqkl,
"Saturday, 	8:00 PM",Grupo Geneva,5520 Mission @ Guttenberg,Daly City,E,http://goo.gl/maps/Pbqkl,
"Sunday, 	10:30 AM",Daily Reflections,580 Crespi –In back of coffee shop,Pacifica,H,http://goo.gl/maps/o3UFk,
"Sunday, 	7:00 PM",Central de RWC,640 Hurlingame ,Redwood City,E,http://goo.gl/maps/xDXgn,
"Monday, 	7:00 PM",Central de RWC,640 Hurlingame ,Redwood City,E,http://goo.gl/maps/xDXgn,
"Tuesday, 	7:00 PM",Central de RWC,640 Hurlingame ,Redwood City,E,http://goo.gl/maps/xDXgn,
"Wednesday, 	7:00 PM",Central de RWC,640 Hurlingame ,Redwood City,E,http://goo.gl/maps/xDXgn,
"Thursday, 	7:00 PM",Central de RWC,640 Hurlingame ,Redwood City,E,http://goo.gl/maps/xDXgn,
"Friday, 	7:00 PM",Central de RWC,640 Hurlingame ,Redwood City,E,http://goo.gl/maps/xDXgn,
"Saturday, 	7:00 PM",Central de RWC,640 Hurlingame ,Redwood City,E,http://goo.gl/maps/xDXgn,
"Tuesday, 	7:30 PM",THUMPERS (Big Book Study),901 Madison Av,Redwood City,"L,Wh",http://goo.gl/maps/qiMde,
"Thursday, 	12:00 PM",B.Y.O.B.GROUP,Baptist Church  2070 Francisco Blvd.,Pacifica,L,http://goo.gl/maps/lJm82,
"Thursday, 	7:30 PM",GRAPEVINE RECOVERY,Baptist Church  2070 Francisco Blvd.,Pacifica,L,http://goo.gl/maps/lJm82,
"Tuesday, 	5:30 PM",HAPPY HOUR/Living Sober,Baptist Church  2070 Francisco Blvd.,Pacifica,"H,L",http://goo.gl/maps/lJm82,
"Tuesday, 	7:30 PM",PACIFICA MEN'S GROUP,Baptist Church  2070 Francisco Blvd.,Pacifica,"H,L,M",http://goo.gl/maps/lJm82,
"Saturday, 	11:00 AM",SHARP PARK 3rd & 11th STEP,Baptist Church  2070 Francisco Blvd.,Pacifica,"H,L",http://goo.gl/maps/lJm82,
