day,name,address,city,codes,map
Thursday  5:45 PM,Happy Hour,1st Presbyterian Church (Rm 139)  2001 Santa Clara Ave ,Alameda,"L, C",http://www.bing.com/maps/#JnE9eXAuMjAwMStTYW50YStDbGFyYStBdmUlMmMrQWxhbWVkYSUyYytDQSU3ZXNzdC4wJTdlcGcuMSZiYj0zNy43NzU4MjA2MTM1NjM0JTdlLTEyMi4yNDExMjE3ODk1OTclN2UzNy43NjcxNTMzMjI5MDA5JTdlLTEyMi4yNjM5NzQyMTA0MDM=
Thursday  6:45 PM,Men's Stag,Park St Center Upstairs  1510 Oak St  ,Alameda,M,http://www.bing.com/maps/#JnE9eXAuMTUxMCtPYWsrU3QlMmMrQWxhbWVkYSUyYytDQSU3ZXNzdC4wJTdlcGcuMSZiYj0zNy44MTg1ODQwMDI3NzE3JTdlLTEyMi4yNTE0NTk3ODk1OTclN2UzNy44MDk5MjE3Mjc0ODQlN2UtMTIyLjI3NDMxMjIxMDQwMw==
Thursday  Noon – 12:00 PM,Walnut Square Group Step/Meditation,Jesus Christ of LDS 1501 Walnut,Berkeley,"Med, L, Wh",http://www.bing.com/maps/#JnE9LjE1MDElMmJXYWxudXQlMmJTdCUyNTQwMiUyYmJlcmtlbGV5JTI1MmMlMmJjYSU3ZXNzdC4wJTdlcGcuMSZiYj01OC4zNzk5MDE2NjA3NDIyJTdlLTg0LjQ1NTA4NTc1MzUlN2U5LjkyNzg2Mzg4MDIzMzc3JTdlLTE2MC4xMjg5MTM4Nzg1
Thursday  8:15 PM,College Bay Group,Durant HS 2330 Durant Ave,Berkeley,"C, Y",http://www.bing.com/maps/#JnE9eXAuMjMzMCtEdXJhbnQlMmMrQmVya2VsZXklMmMrQ0ElN2Vzc3QuMCU3ZXBnLjEmYmI9MzcuODg0MDc0MjgzMTk1NSU3ZS0xMjIuMjUwNDgxMjgwMzM0JTdlMzcuODY5ODQ3MDI5ODIxNSU3ZS0xMjIuMjc0MDg0NzE5NjY2
Thursday  7:00 PM,San Leandro Women's Heart to Heart,All Saints Episcopal Church 911 Dowling Blvd,San Leandro,"W, C",http://goo.gl/maps/HEBjX
Thursday  6:00 PM,Centerville Fellowship Newcomer's Meeting,4500 Thornton Ave,Fremont,"Wh, C",http://www.bing.com/maps/#JnE9eXAuNDUwMCtUaG9ydG9uK0F2ZSUyYytGcmVtb250JTJjK0NBJTdlc3N0LjAlN2VwZy4xJmJiPTM3LjU1MDY1NTM2NTg4MzklN2UtMTIyLjAwNjkyMTI4MDMzNCU3ZTM3LjUzNjM2Mzk0OTIwOTglN2UtMTIyLjAzMDUyNDcxOTY2Ng==
Thursday  8:15 AM,Good Morning America,Central Office 295 27th St,Oakland,Wh,http://www.bing.com/maps/#bGlkPXluMTE5eDIyNzkwMjgxMg==
